"sample_id","age","age_num","channel","x_pos","int_density"
"nSyb7_49to50d F 111125-Airyscan Processing-07_nSyb_Old_Right","Old",3,"Green",2.82,50950000
"nSyb7_49to50d F 111125-Airyscan Processing-07_nSyb_Old_Right","Old",3,"Red",3.18,31070000
"nSyb7_Experiment-1405-Split Scenes-02-Airyscan Processing-01_nSyb_Young_Left","Young",1,"Green",0.82,25330000
"nSyb7_Experiment-1405-Split Scenes-02-Airyscan Processing-01_nSyb_Young_Left","Young",1,"Red",1.18,17040000
"nSyb7_Experiment-1405-Split Scenes-02-Airyscan Processing-01_nSyb_Young_Right","Young",1,"Green",0.82,23360000
"nSyb7_Experiment-1405-Split Scenes-02-Airyscan Processing-01_nSyb_Young_Right","Young",1,"Red",1.18,8121000
"nSyb8_15to20 Mito F  251031-Airyscan Processing-07_nSyb_Middle_Left","Middle",2,"Green",1.82,28400000
"nSyb8_15to20 Mito F  251031-Airyscan Processing-07_nSyb_Middle_Left","Middle",2,"Red",2.18,76460000
"nSyb8_15to20 Mito F  251031-Airyscan Processing-07_nSyb_Middle_Right","Middle",2,"Green",1.82,26230000
"nSyb8_15to20 Mito F  251031-Airyscan Processing-07_nSyb_Middle_Right","Middle",2,"Red",2.18,66910000
"nSyb8_49to50d F 111125-Airyscan Processing-08_nSyb_Old_Left","Old",3,"Green",2.82,35390000
"nSyb8_49to50d F 111125-Airyscan Processing-08_nSyb_Old_Left","Old",3,"Red",3.18,26630000
"nSyb8_49to50d F 111125-Airyscan Processing-08_nSyb_Old_Right","Old",3,"Green",2.82,45970000
"nSyb8_49to50d F 111125-Airyscan Processing-08_nSyb_Old_Right","Old",3,"Red",3.18,40230000
"nSyb9_15to20 Mito F  251031-Airyscan Processing-08_nSyb_Middle_Left","Middle",2,"Green",1.82,10710000
"nSyb9_15to20 Mito F  251031-Airyscan Processing-08_nSyb_Middle_Left","Middle",2,"Red",2.18,9911000
"nSyb9_15to20 Mito F  251031-Airyscan Processing-08_nSyb_Middle_Right","Middle",2,"Green",1.82,13370000
"nSyb9_15to20 Mito F  251031-Airyscan Processing-08_nSyb_Middle_Right","Middle",2,"Red",2.18,15670000
"nSyb9_49to50d F 111125-Airyscan Processing-10_nSyb_Old_Left","Old",3,"Green",2.82,24380000
"nSyb9_49to50d F 111125-Airyscan Processing-10_nSyb_Old_Left","Old",3,"Red",3.18,13570000
"nSyb9_49to50d F 111125-Airyscan Processing-10_nSyb_Old_Right","Old",3,"Green",2.82,10080000
"nSyb9_49to50d F 111125-Airyscan Processing-10_nSyb_Old_Right","Old",3,"Red",3.18,2500000
